"@bankofbaroda I did online pymnt thrgh Bob net bnk but don't knw wat reson the amnt was deducted but ordr couldn't plce even I recvd txn id","Miscellaneous"
"@TheOfficialSBI I don't have a CIF number to change my mobile number","Miscellaneous"
"@TheOfficialSBI how do i know which shopping centres have given access/have tie up for mvisa by statenbankanywhere  app ?","Miscellaneous"
"@ICICIBank_Care: Your customer service is awesome. Wanna say a special thanks to vishwajith (cust care rep) who resolved my issue today.","Compliment"
"@HDFCBank_Cares @HDFC_Bank having positive balance of 90k stil Hw can you reject need u answer","Displeasure"
"@MEAIndia @HDFC_Bank @TheOfficialSBI The good intentions of Modi Sarkar having impact on Indian travellers abroad by limiting Intl ATM txns","Miscellaneous"
"@HDFCBank_Cares @HDFC_Bank - really poor service and bad resolution on net banking when booking at IRCTC. you've cost me 250+ Rs. in 2 days","Displeasure"
"@TheOfficialSBI Refill needed urgently since HMT branch of SBI in Bangalore has closed ATM &amp; is turning back it's o https://t.co/iMpju6GWiy","Displeasure"
"RT @das_devika: @HDFC_Bank @HDFCBank_Cares I appreciate the support shown by the staff at Enkay towers Gurgaon They helped me exchange Rs 5","Compliment"
"@ICICIBank @ICICIBank_Care @PMOIndia @PIB_India @narendramodi great. Plz implement this in all ATMs.","Compliment"
"RT @bankofbaroda: @rupesh0210 Thank you for making our day with your kind words! Thank you for recognizing our efforts!","Compliment"
"@TheOfficialSBI ksds univ br SBIN0002955 overlooked Govt order and closed at 5.00 pm on 10.11.2016 https://t.co/7QfaC0gjt4","Displeasure"
"@KotakBankLtd the newspaper @bsindia is a high rated newspaper that it totally deserves but most articles are now avlbl to premium users","Miscellaneous"
"@ICICI_Direct @ICICIBank_Care .. for the demat account can't seem to purchase lumpsome in @miraeasset fund? has the feature been diabled?","Miscellaneous"
"@TheOfficialSBI many ATM showing machine not working or no cash today almost full day of SBI &amp; subsidries.","Displeasure"
"@HDFCBank_Cares @HDFCLIFE In case you were wondering why I needed an HDFC account... If you pay your cc bill from any other bank account...","Miscellaneous"
"@92nks  You can get in touch with them through their Twitter handle @TheOfficialSBI or their website https://t.co/t1uwck1UH3.","Miscellaneous"
"@DasShaktikanta @adhia03 but sir, what proof required in case of foreigners ? @bankofbaroda @Indiapnb @RajivBLall","Miscellaneous"
"@sona2905 @HDFC_Bank @HDFCBank_Cares @JumaniGopal HDFC VIRAR 2 treated people with such generosity n decency.","Compliment"
"@TheOfficialSBI  SBI DRMO Katihar B.code 06550 Dnt knw Y ths branch closed at 5:50 Dnt undrstnd wat hpnd @narendramodi  @arunjaitley @RBI","Miscellaneous"
"@ICICIBank_Care please check my dm !!!","Displeasure"
"No security system seen to control the people @bankofbaroda @RBI https://t.co/3OLXdNCkte","Displeasure"
"@AxisBank @AxisBankSupport  All axis atm machines are out of cash. Please rush.","Displeasure"
"@RBI @narendramodi @AxisBank @TheOfficialSBI @mdpnb @ICICIBank @PMOIndia No proper planning and action plan on ATM is clearly visible.","Displeasure"
